1AWR	9	10	2	14	75
1CKA	11	14	0	25	146
1CZY	0	8	0	12	109
1D4T	14	12	2	20	82
1DDV	0	6	0	14	61
1DKX	0	13	0	18	86
1EG4	3	3	0	14	114
1ER8	17	17	10	19	152
1GYB	5	6	0	15	69
1HC9	14	10	5	13	45
1IHJ	0	5	0	9	49
1JD5	0	5	0	19	69
1JWG	9	2	0	6	71
1LVM	27	17	13	29	108
1MFG	0	6	0	12	57
1N7F	0	11	0	15	68
1NQ7	0	16	0	18	127
1NTV	18	12	0	16	89
1NVR	4	3	0	14	129
1NX1	0	7	0	16	101
1OAI	10	20	8	20	55
1QKZ	7	4	0	6	112
1RXZ	15	7	5	20	110
1SE0	11	4	0	10	85
1SFI	12	18	7	20	98
1SSH	9	10	2	12	34
1T4F	11	19	2	26	88
1T7R	0	4	0	8	106
1TP5	0	12	0	14	59
1TW6	0	10	0	17	68
1U00	0	11	0	19	85
1UJ0	9	11	0	23	69
1W9E	0	9	0	14	43
1X2R	0	2	0	2	116
1YMT	0	5	0	10	115
1YWO	0	10	0	12	42
2A3I	10	5	0	15	120
2AK5	8	9	2	12	40
2B9H	11	9	4	26	151
2C3I	17	12	4	16	123
2CCH	0	19	0	27	116
2D0N	0	12	0	14	40
2DS8	6	18	4	18	34
2FMF	8	7	0	16	62
2FOJ	7	6	0	14	84
2FVJ	8	6	1	13	127
2H9M	9	9	0	14	121
2HO2	5	14	0	14	41
2HPL	8	17	1	17	61
2J6F	9	19	3	22	55
2JAM	7	5	0	12	113
2O02	18	22	2	24	130
2O4J	10	8	2	11	114
2O9V	0	6	0	6	37
2P0W	15	15	0	18	149
2P54	9	6	1	15	122
2PUY	13	18	2	20	47
2VJ0	0	4	0	9	126
2ZJD	14	13	4	24	76
3CVP	13	8	1	12	143
3D1E	11	16	8	24	168
3D9T	0	6	0	17	69
